Time,Open,High,Low,Last,Change,%Chg,Volume
12/29/2021,476.98,478.149,475.92,477.09,0.22,+0.05%,31250725
12/28/2021,477.72,478.81,476.06,476.87,-0.39,-0.08%,47274500
12/27/2021,472.06,477.31,472.01,477.26,6.66,+1.42%,56808600
12/23/2021,468.75,472.19,468.64,470.6,2.91,+0.62%,56439700
12/22/2021,462.79,467.81,462.58,467.69,4.63,+1.00%,58890200
12/21/2021,458.61,463.21,456.31,463.06,8.08,+1.78%,69806200
12/20/2021,454.48,455.4,451.14,454.98,-4.89,-1.06%,107134800
12/17/2021,461.55,464.74,458.06,459.87,-6.58,-1.41%,135636500
12/16/2021,472.57,472.87,464.8,466.45,-4.15,-0.88%,116568600
12/15/2021,463.42,470.86,460.74,470.6,7.24,+1.56%,116899200
12/14/2021,463.09,465.74,460.25,463.36,-3.21,-0.69%,97264100
12/13/2021,470.19,470.56,466.27,466.57,-4.17,-0.89%,87724600
12/10/2021,469.23,470.9,466.51,470.74,4.39,+0.94%,77159700
12/09/2021,468.15,469.6291,466.14,466.35,-3.17,-0.68%,61272500
12/08/2021,468.7,470,466.83,469.52,1.24,+0.26%,72238700
12/07/2021,464.41,468.88,458.6546,468.28,9.49,+2.07%,95484600
12/06/2021,456.13,460.79,453.56,458.79,5.37,+1.18%,98977500
12/03/2021,459.17,460.3,448.92,453.42,-3.98,-0.87%,137331600
12/02/2021,450.73,459.07,450.31,457.4,6.9,+1.53%,127637700
12/01/2021,461.64,464.67,450.29,450.5,-5.06,-1.11%,132485800
11/30/2021,462,464.03,455.3,455.56,-9.04,-1.95%,148559600
11/29/2021,464.07,466.56,461.73,464.6,5.63,+1.23%,86268800
11/26/2021,462.34,463.9,457.77,458.97,-10.47,-2.23%,112669600
11/24/2021,466.06,469.57,465.19,469.44,1.25,+0.27%,61858800
11/23/2021,467.22,469.095,464.45,468.19,0.62,+0.13%,73206500
11/22/2021,470.89,473.54,467.35,467.57,-1.32,-0.28%,72761900
11/19/2021,469.61,470.94,468.5,468.89,-0.84,-0.18%,57315500
11/18/2021,469.24,470.01,466.34,469.73,1.59,+0.34%,50625600
11/17/2021,469,469.19,467.48,468.14,-1.14,-0.24%,47858200
11/16/2021,467.15,470.485,467.07,469.28,1.85,+0.40%,48857500
11/15/2021,468.64,468.81,466.23,467.43,0.16,+0.03%,46980400
11/12/2021,465.12,467.86,464.11,467.27,3.5,+0.75%,53466600
11/11/2021,465.21,465.29,463.75,463.77,0.15,+0.03%,34848400
11/10/2021,465.58,467.38,462.04,463.62,-3.76,-0.80%,69429600
11/09/2021,469.32,469.57,465.88,467.38,-1.55,-0.33%,51149100
11/08/2021,469.7,470.23,468.2031,468.93,0.4,+0.09%,50405100
11/05/2021,469.28,470.65,466.92,468.53,1.62,+0.35%,66390500
11/04/2021,465.36,467,464.99,466.91,2.19,+0.47%,52847000
11/03/2021,461.3,465.15,460.83,464.72,2.82,+0.61%,52509800
11/02/2021,460.22,462.23,460.08,461.9,1.86,+0.40%,48908400
11/01/2021,460.3,460.7021,458.2,460.04,0.79,+0.17%,48433600
10/29/2021,455.87,459.56,455.56,459.25,0.93,+0.20%,70162400
10/28/2021,455.46,458.4,455.45,458.32,4.38,+0.96%,51437900
10/27/2021,456.45,457.16,453.86,453.94,-2.02,-0.44%,72438000
10/26/2021,457.2,458.49,455.56,455.96,0.41,+0.09%,56075100
10/25/2021,454.28,455.9,452.39,455.55,2.43,+0.54%,45214500
10/22/2021,453.13,454.67,451.05,453.12,-0.47,-0.10%,58845000
10/21/2021,451.77,453.829,451.31,453.59,1.18,+0.26%,41305400
10/20/2021,451.13,452.732,451.01,452.41,1.77,+0.39%,49571500
10/19/2021,448.92,450.71,448.27,450.64,3.45,+0.77%,46996800
10/18/2021,443.97,447.55,443.27,447.19,1.32,+0.30%,62213200
10/15/2021,444.75,446.26,444.09,445.87,3.37,+0.76%,66260200
10/14/2021,439.08,442.66,438.58,442.5,7.32,+1.68%,70236800
10/13/2021,434.71,436.05,431.54,435.18,1.56,+0.36%,72973900
10/12/2021,435.67,436.1,432.78,433.62,-1.07,-0.25%,71181100
10/11/2021,437.16,440.26,434.62,434.69,-3.17,-0.72%,65233200
10/08/2021,439.48,439.89,437.19,437.86,-0.8,-0.18%,74557400
10/07/2021,438.39,441.68,438.2,438.66,3.76,+0.86%,72437500
10/06/2021,429.27,435.1199,427.54,434.9,1.8,+0.42%,113032200
10/05/2021,430.24,435.49,429.39,433.1,4.46,+1.04%,90682500
10/04/2021,433,433.96,426.36,428.64,-5.6,-1.29%,128569900
10/01/2021,430.98,436.0329,427.23,434.24,5.1,+1.19%,129240100
09/30/2021,436.02,436.77,428.78,429.14,-5.31,-1.22%,140505900
09/29/2021,435.19,437.04,433.85,434.45,0.73,+0.17%,82329200
09/28/2021,439.69,440.04,432.94,433.72,-8.92,-2.02%,130436300
09/27/2021,442.81,444.05,441.9,442.64,-1.27,-0.29%,61371100
09/24/2021,441.44,444.67,441.21,443.91,0.73,+0.16%,62094800
09/23/2021,439.85,444.89,439.6,443.18,5.32,+1.22%,76395900
